,Gene,Ensembl,gene,pvalue,padj
8934,GSN,ENSG00000148180,ENSG00000148180,8.08060059472e-21,1.40562047345e-16
6860,DTNA,ENSG00000134769,ENSG00000134769,1.58607723199e-19,1.37949067252e-15
6907,GOLM1,ENSG00000135052,ENSG00000135052,8.67050057426e-19,5.02744524964e-15
5640,SDCBP2,ENSG00000125775,ENSG00000125775,1.31793710574e-18,5.73137898857e-15
13300,ADGRG2,ENSG00000173698,ENSG00000173698,1.8097483185e-18,6.29611440006e-15
10825,SLC22A15,ENSG00000163393,ENSG00000163393,4.32566327367e-18,1.25408187742e-14
12499,MYO7B,ENSG00000169994,ENSG00000169994,1.18418676619e-17,2.94270411399e-14
8801,CXorf36,ENSG00000147113,ENSG00000147113,1.56327492015e-17,3.39914590451e-14
2631,TIMP1,ENSG00000102265,ENSG00000102265,2.03952967801e-17,3.94195763879e-14
3776,VWF,ENSG00000110799,ENSG00000110799,5.69469507272e-17,9.905922079e-14
2883,NIPAL2,ENSG00000104361,ENSG00000104361,1.27092738622e-16,2.00979835303e-13
4383,EFEMP1,ENSG00000115380,ENSG00000115380,1.98780241943e-16,2.65983254508e-13
10997,LIPH,ENSG00000163898,ENSG00000163898,1.86626896417e-16,2.65983254508e-13
9082,ST14,ENSG00000149418,ENSG00000149418,2.15877979041e-16,2.68228388958e-13
9876,MAPK13,ENSG00000156711,ENSG00000156711,3.75478057631e-16,4.354293875e-13
17532,GPX3,ENSG00000211445,ENSG00000211445,4.21656168765e-16,4.58419315979e-13
15520,THBS2,ENSG00000186340,ENSG00000186340,7.00770738638e-16,7.07396643758e-13
8834,GPC3,ENSG00000147257,ENSG00000147257,7.31999976294e-16,7.07396643758e-13
6162,PLVAP,ENSG00000130300,ENSG00000130300,9.99209496713e-16,9.14802589228e-13
6669,FAM83F,ENSG00000133477,ENSG00000133477,1.34036990807e-15,1.15582290785e-12
8715,SCML4,ENSG00000146285,ENSG00000146285,1.44648505379e-15,1.15582290785e-12
10698,CAPN2,ENSG00000162909,ENSG00000162909,1.46180534479e-15,1.15582290785e-12
6454,SLC6A11,ENSG00000132164,ENSG00000132164,1.71053077836e-15,1.29368186477e-12
5763,WNK4,ENSG00000126562,ENSG00000126562,1.80863545256e-15,1.31088390405e-12
11005,RPL39L,ENSG00000163923,ENSG00000163923,2.14665402331e-15,1.49364186942e-12
10283,SLC37A1,ENSG00000160190,ENSG00000160190,2.27340674449e-15,1.52099655078e-12
2676,RGCC,ENSG00000102760,ENSG00000102760,2.45190318653e-15,1.57966133073e-12
1202,EVC,ENSG00000072840,ENSG00000072840,2.68757547302e-15,1.66965626262e-12
1569,ITGB5,ENSG00000082781,ENSG00000082781,3.12451691161e-15,1.81169905592e-12
5272,P4HA1,ENSG00000122884,ENSG00000122884,3.0546124077e-15,1.81169905592e-12
5424,PTGIS,ENSG00000124212,ENSG00000124212,3.70861302115e-15,2.08101043558e-12
988,PFKP,ENSG00000067057,ENSG00000067057,4.2122628264e-15,2.28975974579e-12
11324,DIRAS2,ENSG00000165023,ENSG00000165023,4.58842004465e-15,2.41865353566e-12
14137,MSC,ENSG00000178860,ENSG00000178860,5.7770253825e-15,2.84856054806e-12
9991,SLC34A2,ENSG00000157765,ENSG00000157765,5.89526759012e-15,2.84856054806e-12
9703,TMEM55A,ENSG00000155099,ENSG00000155099,5.76432303655e-15,2.84856054806e-12
14581,CLDN7,ENSG00000181885,ENSG00000181885,6.69860578057e-15,3.14924993387e-12
1681,EPDR1,ENSG00000086289,ENSG00000086289,8.19078122933e-15,3.74943788116e-12
4648,CDK18,ENSG00000117266,ENSG00000117266,1.21663726925e-14,5.42651417914e-12
4366,CLIP4,ENSG00000115295,ENSG00000115295,1.29247075147e-14,5.62063218044e-12
13392,PHLDA3,ENSG00000174307,ENSG00000174307,1.50645315798e-14,6.39140309343e-12
4839,C1orf198,ENSG00000119280,ENSG00000119280,1.61836918873e-14,6.70274572333e-12
3243,NPTX2,ENSG00000106236,ENSG00000106236,1.70704765871e-14,6.80640309556e-12
7342,LRRC1,ENSG00000137269,ENSG00000137269,1.72165413167e-14,6.80640309556e-12
1969,EZR,ENSG00000092820,ENSG00000092820,1.88348717595e-14,7.28072431679e-12
1471,MOXD1,ENSG00000079931,ENSG00000079931,1.98627746675e-14,7.51115142045e-12
9401,HOMER1,ENSG00000152413,ENSG00000152413,2.25189038899e-14,8.33439006733e-12
10280,TMPRSS3,ENSG00000160183,ENSG00000160183,2.3603036022e-14,8.5536419084e-12
6634,BEX2,ENSG00000133134,ENSG00000133134,2.41268601913e-14,8.5650353679e-12
8606,OSMR,ENSG00000145623,ENSG00000145623,2.49266986675e-14,8.67199846643e-12
4891,LTBP2,ENSG00000119681,ENSG00000119681,2.60175900024e-14,8.8740387861e-12
9937,MMP14,ENSG00000157227,ENSG00000157227,2.87533713622e-14,9.45902565546e-12
14740,ANXA2,ENSG00000182718,ENSG00000182718,2.88202563805e-14,9.45902565546e-12
4024,ARFGEF3,ENSG00000112379,ENSG00000112379,3.15076091761e-14,1.01495344744e-11
15002,DNAH2,ENSG00000183914,ENSG00000183914,3.39188781356e-14,1.0727616094e-11
7393,SULF1,ENSG00000137573,ENSG00000137573,3.79595726102e-14,1.15843292203e-11
9714,GOLGA7B,ENSG00000155265,ENSG00000155265,3.78823131084e-14,1.15843292203e-11
7513,STAMBPL1,ENSG00000138134,ENSG00000138134,4.13505430806e-14,1.24015982222e-11
35,DBNDD1,ENSG00000003249,ENSG00000003249,4.27294031363e-14,1.25979316535e-11
15069,TACSTD2,ENSG00000184292,ENSG00000184292,4.97734272445e-14,1.44301461153e-11
14429,BHLHE22,ENSG00000180828,ENSG00000180828,5.32834028255e-14,1.49494321314e-11
17149,COL15A1,ENSG00000204291,ENSG00000204291,5.32453234503e-14,1.49494321314e-11
1242,GLI2,ENSG00000074047,ENSG00000074047,5.4953900999e-14,1.51733826647e-11
6877,COL4A2,ENSG00000134871,ENSG00000134871,5.70327325264e-14,1.55013184734e-11
2234,TSPO,ENSG00000100300,ENSG00000100300,6.01862551154e-14,1.58836664624e-11
11456,DACT1,ENSG00000165617,ENSG00000165617,6.02657077619e-14,1.58836664624e-11
13530,PACS1,ENSG00000175115,ENSG00000175115,6.18179774679e-14,1.60496077321e-11
3309,AEBP1,ENSG00000106624,ENSG00000106624,6.3308675224e-14,1.61949177283e-11
5515,SOX4,ENSG00000124766,ENSG00000124766,6.75498354975e-14,1.70294114272e-11
14970,SLC35F3,ENSG00000183780,ENSG00000183780,6.86185668066e-14,1.70517138514e-11
15729,COL4A1,ENSG00000187498,ENSG00000187498,7.61555644832e-14,1.86581132984e-11
4023,PERP,ENSG00000112378,ENSG00000112378,8.95433342358e-14,2.16334208199e-11
12905,COL8A2,ENSG00000171812,ENSG00000171812,9.45529527063e-14,2.25308029086e-11
11104,ITGA2,ENSG00000164171,ENSG00000164171,1.01269435786e-13,2.38051599391e-11
11350,SVEP1,ENSG00000165124,ENSG00000165124,1.03875246406e-13,2.40921321498e-11
108,ITGA3,ENSG00000005884,ENSG00000005884,1.07027172425e-13,2.44965482149e-11
13822,PNMA1,ENSG00000176903,ENSG00000176903,1.11678736174e-13,2.52292417629e-11
5924,GNAZ,ENSG00000128266,ENSG00000128266,1.14583632502e-13,2.55536190688e-11
13161,SH3RF3,ENSG00000172985,ENSG00000172985,1.17372929113e-13,2.5844330404e-11
4101,LOX,ENSG00000113083,ENSG00000113083,1.23404654335e-13,2.68327995269e-11
1603,FAT1,ENSG00000083857,ENSG00000083857,1.29977744967e-13,2.72564525125e-11
11241,COL1A2,ENSG00000164692,ENSG00000164692,1.28165887494e-13,2.72564525125e-11
3520,BLMH,ENSG00000108578,ENSG00000108578,1.30053783187e-13,2.72564525125e-11
8199,IGSF3,ENSG00000143061,ENSG00000143061,1.63624021332e-13,3.38838077508e-11
10577,RBP7,ENSG00000162444,ENSG00000162444,1.69766269142e-13,3.47421676673e-11
4954,GOT1,ENSG00000120053,ENSG00000120053,1.7328668113e-13,3.50011623857e-11
6436,LGALS3,ENSG00000131981,ENSG00000131981,1.7505611541e-13,3.50011623857e-11
6314,EDA2R,ENSG00000131080,ENSG00000131080,1.78239875318e-13,3.52327571723e-11
10579,FBLIM1,ENSG00000162458,ENSG00000162458,1.8361961454e-13,3.57074501616e-11
10157,STC1,ENSG00000159167,ENSG00000159167,1.84746795892e-13,3.57074501616e-11
9856,HKDC1,ENSG00000156510,ENSG00000156510,1.99145732585e-13,3.77331687249e-11
11050,SPRY1,ENSG00000164056,ENSG00000164056,1.99566054768e-13,3.77331687249e-11
2136,SUSD2,ENSG00000099994,ENSG00000099994,2.04092500863e-13,3.81740758334e-11
16306,LAMA2,ENSG00000196569,ENSG00000196569,2.08527850242e-13,3.85887442016e-11
5950,SPECC1,ENSG00000128487,ENSG00000128487,2.20624594304e-13,3.97574041778e-11
8912,CDKN2A,ENSG00000147889,ENSG00000147889,2.27289889585e-13,3.97574041778e-11
1693,HSD17B2,ENSG00000086696,ENSG00000086696,2.30370340214e-13,3.97574041778e-11
4043,SMOC2,ENSG00000112562,ENSG00000112562,2.24614593021e-13,3.97574041778e-11
16669,S100A6,ENSG00000197956,ENSG00000197956,2.24691247752e-13,3.97574041778e-11
13162,GXYLT2,ENSG00000172986,ENSG00000172986,2.34533651247e-13,3.97574041778e-11
14266,ARL14,ENSG00000179674,ENSG00000179674,2.24787196624e-13,3.97574041778e-11
5190,FMOD,ENSG00000122176,ENSG00000122176,2.32643267334e-13,3.97574041778e-11
10593,KIAA1522,ENSG00000162522,ENSG00000162522,2.35413200938e-13,3.97574041778e-11
4557,LEPR,ENSG00000116678,ENSG00000116678,2.38307282821e-13,3.9859184468e-11
7589,HCN4,ENSG00000138622,ENSG00000138622,2.41458840575e-13,4.00016812553e-11
6416,RAI2,ENSG00000131831,ENSG00000131831,2.47835478293e-13,4.0670737216e-11
2403,PROCR,ENSG00000101000,ENSG00000101000,2.71243609334e-13,4.36878017071e-11
13445,SLCO2A1,ENSG00000174640,ENSG00000174640,2.69308659958e-13,4.36878017071e-11
449,VIM,ENSG00000026025,ENSG00000026025,2.84619161356e-13,4.52067984985e-11
6482,RAP1GAP2,ENSG00000132359,ENSG00000132359,2.85872252649e-13,4.52067984985e-11
9185,ADRA2A,ENSG00000150594,ENSG00000150594,2.90537414163e-13,4.55306154897e-11
11536,TC2N,ENSG00000165929,ENSG00000165929,3.00532335872e-13,4.66764284152e-11
12586,KRT8,ENSG00000170421,ENSG00000170421,3.05038059326e-13,4.69569649733e-11
677,LAMC3,ENSG00000050555,ENSG00000050555,3.0928230076e-13,4.71926808923e-11
13665,A2M,ENSG00000175899,ENSG00000175899,3.23934365142e-13,4.89985937534e-11
436,EHD2,ENSG00000024422,ENSG00000024422,3.30840297078e-13,4.96117842041e-11
2587,PLP2,ENSG00000102007,ENSG00000102007,3.36337313026e-13,5.00050218811e-11
5662,NRSN2,ENSG00000125841,ENSG00000125841,3.46718244835e-13,5.1111558211e-11
384,VSIG2,ENSG00000019102,ENSG00000019102,3.56962528317e-13,5.21795225216e-11
5472,F13A1,ENSG00000124491,ENSG00000124491,3.67494054085e-13,5.327132559e-11
5231,WIPF3,ENSG00000122574,ENSG00000122574,3.75052861023e-13,5.3917723285e-11
13493,SEZ6L2,ENSG00000174938,ENSG00000174938,3.78619704896e-13,5.39843423497e-11
10256,PTGIR,ENSG00000160013,ENSG00000160013,3.9283779178e-13,5.55562064066e-11
14460,BBS12,ENSG00000181004,ENSG00000181004,4.24555258238e-13,5.95575702989e-11
6724,LOXL2,ENSG00000134013,ENSG00000134013,4.62767921879e-13,6.43987840087e-11
11799,MAP1A,ENSG00000166963,ENSG00000166963,5.07645098523e-13,7.00832261016e-11
2465,SLC52A3,ENSG00000101276,ENSG00000101276,5.14358062165e-13,7.04508542627e-11
6018,ISLR,ENSG00000129009,ENSG00000129009,5.38587302132e-13,7.26964572195e-11
17683,TAX1BP3,ENSG00000213977,ENSG00000213977,5.39111410251e-13,7.26964572195e-11
7705,LUM,ENSG00000139329,ENSG00000139329,5.70183258104e-13,7.62949059594e-11
11192,TMEM200A,ENSG00000164484,ENSG00000164484,6.00467426852e-13,7.97338235885e-11
14519,TMEM45A,ENSG00000181458,ENSG00000181458,6.12385928413e-13,8.00936332687e-11
10275,CILP2,ENSG00000160161,ENSG00000160161,6.11413881294e-13,8.00936332687e-11
6366,GFPT2,ENSG00000131459,ENSG00000131459,6.18440738123e-13,8.02819152213e-11
4388,GLS,ENSG00000115419,ENSG00000115419,6.51176147548e-13,8.39052524934e-11
11584,SPINT1,ENSG00000166145,ENSG00000166145,6.71611453738e-13,8.46571104186e-11
5286,BHLHE41,ENSG00000123095,ENSG00000123095,6.62946207529e-13,8.46571104186e-11
9367,HSPB8,ENSG00000152137,ENSG00000152137,6.69295387058e-13,8.46571104186e-11
17556,FAM127C,ENSG00000212747,ENSG00000212747,6.89913177471e-13,8.6338415267e-11
2067,ERMP1,ENSG00000099219,ENSG00000099219,6.98672891203e-13,8.6810106732e-11
8754,IGFBP1,ENSG00000146678,ENSG00000146678,7.07438887727e-13,8.72758826384e-11
10828,ATP1A1,ENSG00000163399,ENSG00000163399,7.22004137955e-13,8.84455068995e-11
14991,KIRREL,ENSG00000183853,ENSG00000183853,7.2939597245e-13,8.8726174411e-11
7514,CH25H,ENSG00000138135,ENSG00000138135,7.71262495444e-13,9.25249041948e-11
5265,PLAU,ENSG00000122861,ENSG00000122861,7.66488438386e-13,9.25249041948e-11
251,CD9,ENSG00000010278,ENSG00000010278,7.86601504819e-13,9.37187203858e-11
7857,TPM1,ENSG00000140416,ENSG00000140416,8.12209106153e-13,9.61114108948e-11
6720,TTC9,ENSG00000133985,ENSG00000133985,8.39498616645e-13,9.86694488955e-11
8546,ILDR1,ENSG00000145103,ENSG00000145103,8.77423034498e-13,1.02434722719e-10
12622,SMAGP,ENSG00000170545,ENSG00000170545,9.04785586077e-13,1.04924968465e-10
15894,NCR3LG1,ENSG00000188211,ENSG00000188211,1.04571878128e-12,1.20465418545e-10
11496,KIAA1462,ENSG00000165757,ENSG00000165757,1.09947875407e-12,1.25825216625e-10
3597,PMP22,ENSG00000109099,ENSG00000109099,1.13009775819e-12,1.27649678595e-10
12656,KCNS3,ENSG00000170745,ENSG00000170745,1.12659890404e-12,1.27649678595e-10
13784,FOXL1,ENSG00000176678,ENSG00000176678,1.18012356464e-12,1.32287536945e-10
4178,DPYSL3,ENSG00000113657,ENSG00000113657,1.18636710338e-12,1.32287536945e-10
16536,STMN3,ENSG00000197457,ENSG00000197457,1.20645581059e-12,1.33670693154e-10
8910,CDKN2B,ENSG00000147883,ENSG00000147883,1.25613121738e-12,1.38293686875e-10
11261,TNFRSF11B,ENSG00000164761,ENSG00000164761,1.27720758432e-12,1.39729722825e-10
4190,DBN1,ENSG00000113758,ENSG00000113758,1.32594576129e-12,1.44155165735e-10
670,DKK3,ENSG00000050165,ENSG00000050165,1.36366073721e-12,1.46425176073e-10
16388,KIAA1211L,ENSG00000196872,ENSG00000196872,1.35918611524e-12,1.46425176073e-10
4899,TGFB3,ENSG00000119699,ENSG00000119699,1.45430854367e-12,1.54254250715e-10
16852,STK39,ENSG00000198648,ENSG00000198648,1.45110302171e-12,1.54254250715e-10
4086,C7,ENSG00000112936,ENSG00000112936,1.49066648563e-12,1.57152384955e-10
14271,APOBEC3B,ENSG00000179750,ENSG00000179750,1.55034258309e-12,1.62459091764e-10
10599,WNT4,ENSG00000162552,ENSG00000162552,1.58545577739e-12,1.65143732023e-10
9806,ADAMTS3,ENSG00000156140,ENSG00000156140,1.68466235209e-12,1.74432747706e-10
16443,GAL3ST4,ENSG00000197093,ENSG00000197093,1.72095715581e-12,1.77136388907e-10
11353,ANKS6,ENSG00000165138,ENSG00000165138,1.74585431704e-12,1.77597285643e-10
16014,PRELP,ENSG00000188783,ENSG00000188783,1.73807931634e-12,1.77597285643e-10
6219,COL5A1,ENSG00000130635,ENSG00000130635,1.83054882637e-12,1.85130214155e-10
6187,EPO,ENSG00000130427,ENSG00000130427,1.90096319129e-12,1.91140200651e-10
8675,DCDC2,ENSG00000146038,ENSG00000146038,1.91423856598e-12,1.91368849742e-10
17636,LBH,ENSG00000213626,ENSG00000213626,1.96822597234e-12,1.9564166165e-10
17140,COL5A2,ENSG00000204262,ENSG00000204262,2.01570952904e-12,1.99223109419e-10
1544,SMARCD3,ENSG00000082014,ENSG00000082014,2.06965503026e-12,2.03399148313e-10
8509,COL8A1,ENSG00000144810,ENSG00000144810,2.11064903897e-12,2.06262584454e-10
14911,TNFAIP8L3,ENSG00000183578,ENSG00000183578,2.20915565413e-12,2.14683031305e-10
16076,APOD,ENSG00000189058,ENSG00000189058,2.26236636749e-12,2.18632572014e-10
1791,TESC,ENSG00000088992,ENSG00000088992,2.27909821037e-12,2.19032670549e-10
547,VCAN,ENSG00000038427,ENSG00000038427,2.36663486076e-12,2.26195678038e-10
5988,HOXD9,ENSG00000128709,ENSG00000128709,2.52617466663e-12,2.40124635662e-10
23,HS3ST1,ENSG00000002587,ENSG00000002587,2.57845770207e-12,2.4244471204e-10
4187,STC2,ENSG00000113739,ENSG00000113739,2.56602801186e-12,2.4244471204e-10
10886,EIF5A2,ENSG00000163577,ENSG00000163577,2.62120823328e-12,2.42531474563e-10
7929,CDH11,ENSG00000140937,ENSG00000140937,2.59829224759e-12,2.42531474563e-10
11658,SERPINB8,ENSG00000166401,ENSG00000166401,2.61825644169e-12,2.42531474563e-10
6395,MAP1B,ENSG00000131711,ENSG00000131711,2.67297817794e-12,2.45199152002e-10
4074,ENPP5,ENSG00000112796,ENSG00000112796,2.6782316114e-12,2.45199152002e-10
13170,EVC2,ENSG00000173040,ENSG00000173040,2.72182465239e-12,2.47885548839e-10
663,NEDD4L,ENSG00000049759,ENSG00000049759,2.75347450645e-12,2.49461922082e-10
10682,KIF26B,ENSG00000162849,ENSG00000162849,2.94156597487e-12,2.651219696e-10
4660,SLC2A1,ENSG00000117394,ENSG00000117394,3.1549188128e-12,2.79923627348e-10
15072,PRKD1,ENSG00000184304,ENSG00000184304,3.15699083025e-12,2.79923627348e-10
16499,LRP10,ENSG00000197324,ENSG00000197324,3.17016122952e-12,2.79923627348e-10
3472,KRT23,ENSG00000108244,ENSG00000108244,3.1577863623e-12,2.79923627348e-10
9059,ENDOD1,ENSG00000149218,ENSG00000149218,3.19082253731e-12,2.80325040588e-10
4341,MPV17,ENSG00000115204,ENSG00000115204,3.48263497294e-12,3.04424298263e-10
16537,PDGFA,ENSG00000197461,ENSG00000197461,3.52312144709e-12,3.0642348786e-10
14992,IQGAP3,ENSG00000183856,ENSG00000183856,3.6112278719e-12,3.12168915907e-10
3085,CYTH2,ENSG00000105443,ENSG00000105443,3.63794165355e-12,3.12168915907e-10
1454,CEACAM1,ENSG00000079385,ENSG00000079385,3.6430175297e-12,3.12168915907e-10
11019,SLC51A,ENSG00000163959,ENSG00000163959,3.70082851363e-12,3.12781814918e-10
7143,RAPGEF5,ENSG00000136237,ENSG00000136237,3.67681591702e-12,3.12781814918e-10
3602,RAB34,ENSG00000109113,ENSG00000109113,3.70411347359e-12,3.12781814918e-10
10745,SGPP2,ENSG00000163082,ENSG00000163082,3.76005415581e-12,3.15971700678e-10
6481,CARD6,ENSG00000132357,ENSG00000132357,3.79658943003e-12,3.15988866676e-10
11835,CERCAM,ENSG00000167123,ENSG00000167123,3.78537960641e-12,3.15988866676e-10
10864,HDAC11,ENSG00000163517,ENSG00000163517,3.91776833449e-12,3.24521810374e-10
1130,OSBPL3,ENSG00000070882,ENSG00000070882,3.9499146586e-12,3.25633959651e-10
9999,GAREM2,ENSG00000157833,ENSG00000157833,3.96955636244e-12,3.25709589267e-10
10571,SELENON,ENSG00000162430,ENSG00000162430,4.02963339112e-12,3.29086726942e-10
7136,SCRN1,ENSG00000136193,ENSG00000136193,4.07922731955e-12,3.31580183288e-10
4345,ITGB6,ENSG00000115221,ENSG00000115221,4.11488951953e-12,3.32923270662e-10
1000,PKM,ENSG00000067225,ENSG00000067225,4.18025729532e-12,3.35094818673e-10
9281,CCDC3,ENSG00000151468,ENSG00000151468,4.17932210312e-12,3.35094818673e-10
7063,LAMC1,ENSG00000135862,ENSG00000135862,4.25350949147e-12,3.39402741303e-10
3237,MINDY4,ENSG00000106125,ENSG00000106125,4.42152801572e-12,3.51198538052e-10
1713,ADAMTS2,ENSG00000087116,ENSG00000087116,4.56467694237e-12,3.60920706421e-10
6302,EPS8L1,ENSG00000131037,ENSG00000131037,4.66473764265e-12,3.6716339952e-10
10743,CFAP221,ENSG00000163075,ENSG00000163075,4.74105217815e-12,3.71489201076e-10
17859,CKLF,ENSG00000217555,ENSG00000217555,4.85081378628e-12,3.78101559712e-10
5831,TSPAN8,ENSG00000127324,ENSG00000127324,4.86891344499e-12,3.78101559712e-10
16399,FLNA,ENSG00000196924,ENSG00000196924,5.2274103117e-12,4.04136899431e-10
14296,B3GNT3,ENSG00000179913,ENSG00000179913,5.32724873283e-12,4.10033149149e-10
9712,MARVELD1,ENSG00000155254,ENSG00000155254,5.51304244789e-12,4.22464199917e-10
6079,RNASE1,ENSG00000129538,ENSG00000129538,5.66523151692e-12,4.32222378232e-10
16293,AFAP1,ENSG00000196526,ENSG00000196526,5.78206956538e-12,4.3921004406e-10
883,CTSA,ENSG00000064601,ENSG00000064601,6.04280411469e-12,4.570199025e-10
16241,FUT4,ENSG00000196371,ENSG00000196371,6.11685049479e-12,4.58631958435e-10
2653,NALCN,ENSG00000102452,ENSG00000102452,6.10946304485e-12,4.58631958435e-10
9857,HK1,ENSG00000156515,ENSG00000156515,6.14515539241e-12,4.58776729833e-10
10169,CLIC6,ENSG00000159212,ENSG00000159212,6.28741990495e-12,4.66246364837e-10
8468,VGLL4,ENSG00000144560,ENSG00000144560,6.29881550656e-12,4.66246364837e-10
1917,SEL1L3,ENSG00000091490,ENSG00000091490,6.59102783012e-12,4.85809021631e-10
6001,TMOD2,ENSG00000128872,ENSG00000128872,6.92200280221e-12,5.08051640272e-10
6773,VTCN1,ENSG00000134258,ENSG00000134258,7.11687158344e-12,5.20159584849e-10
28,LASP1,ENSG00000002834,ENSG00000002834,7.58528165518e-12,5.5207520666e-10
6275,PLXNA3,ENSG00000130827,ENSG00000130827,7.67867359635e-12,5.56543863369e-10
9584,THY1,ENSG00000154096,ENSG00000154096,7.72721502721e-12,5.57738196673e-10
9758,FZD7,ENSG00000155760,ENSG00000155760,7.97921164089e-12,5.73547051625e-10
13809,VSIG10,ENSG00000176834,ENSG00000176834,8.18489970704e-12,5.85910824708e-10
9170,TMCO3,ENSG00000150403,ENSG00000150403,8.55630108269e-12,6.00213072548e-10
1912,ITGA6,ENSG00000091409,ENSG00000091409,8.49036809801e-12,6.00213072548e-10
16709,SULT1C4,ENSG00000198075,ENSG00000198075,8.44144990756e-12,6.00213072548e-10
5268,BICC1,ENSG00000122870,ENSG00000122870,8.4745489734e-12,6.00213072548e-10
2535,MYL12A,ENSG00000101608,ENSG00000101608,8.55722000528e-12,6.00213072548e-10
3552,CNTNAP1,ENSG00000108797,ENSG00000108797,9.00380185056e-12,6.29000534901e-10
16927,INPP5F,ENSG00000198825,ENSG00000198825,9.07067308462e-12,6.31137433228e-10
7384,LRRC32,ENSG00000137507,ENSG00000137507,9.17113676586e-12,6.35585354749e-10
10464,CD300LG,ENSG00000161649,ENSG00000161649,9.22035764338e-12,6.36460798439e-10
12283,COL4A3,ENSG00000169031,ENSG00000169031,9.39366035127e-12,6.45860560515e-10
9157,ITGB1,ENSG00000150093,ENSG00000150093,9.4552012646e-12,6.47532385818e-10
1720,MMP2,ENSG00000087245,ENSG00000087245,9.78143819522e-12,6.67247519239e-10
8307,ATP8B2,ENSG00000143515,ENSG00000143515,9.82536148275e-12,6.67625636689e-10
3934,NEDD9,ENSG00000111859,ENSG00000111859,1.04024112652e-11,7.04085385051e-10
5942,LIF,ENSG00000128342,ENSG00000128342,1.04441423547e-11,7.04169985503e-10
1903,LAMB1,ENSG00000091136,ENSG00000091136,1.07027360054e-11,7.18818891174e-10
11560,HTRA1,ENSG00000166033,ENSG00000166033,1.08491154467e-11,7.25847550752e-10
9871,RAB11FIP1,ENSG00000156675,ENSG00000156675,1.12892436652e-11,7.52399975308e-10
4309,ADAM23,ENSG00000114948,ENSG00000114948,1.14398374347e-11,7.58843185237e-10
6357,GALNT15,ENSG00000131386,ENSG00000131386,1.14731680205e-11,7.58843185237e-10
1286,SEMA3C,ENSG00000075223,ENSG00000075223,1.15812897383e-11,7.63092935597e-10
5267,CHST3,ENSG00000122863,ENSG00000122863,1.17443209741e-11,7.70914956018e-10
1446,LXN,ENSG00000079257,ENSG00000079257,1.19505317333e-11,7.81501877825e-10
888,CNN2,ENSG00000064666,ENSG00000064666,1.20436604938e-11,7.84642225805e-10
2837,EHD4,ENSG00000103966,ENSG00000103966,1.22390651647e-11,7.94397531865e-10
17515,TMEM200C,ENSG00000206432,ENSG00000206432,1.25125121273e-11,8.06130179464e-10
17869,FAM19A5,ENSG00000219438,ENSG00000219438,1.24772152522e-11,8.06130179464e-10
15174,PRR16,ENSG00000184838,ENSG00000184838,1.26304618247e-11,8.07745894999e-10
18014,TMEM185B,ENSG00000226479,ENSG00000226479,1.26228307472e-11,8.07745894999e-10
1351,RAP1GAP,ENSG00000076864,ENSG00000076864,1.33617953388e-11,8.4519429061e-10
10049,FAIM,ENSG00000158234,ENSG00000158234,1.32852147863e-11,8.4519429061e-10
13358,CD34,ENSG00000174059,ENSG00000174059,1.33530926705e-11,8.4519429061e-10
2886,JPH1,ENSG00000104369,ENSG00000104369,1.34396011803e-11,8.47035733812e-10
10746,INHBB,ENSG00000163083,ENSG00000163083,1.35424789484e-11,8.50438344073e-10
3861,VDR,ENSG00000111424,ENSG00000111424,1.36056726929e-11,8.51333368678e-10
7484,ADCY3,ENSG00000138031,ENSG00000138031,1.43353343287e-11,8.9377469766e-10
14745,PAPPA,ENSG00000182752,ENSG00000182752,1.45348520891e-11,9.02977686034e-10
1828,HEPH,ENSG00000089472,ENSG00000089472,1.47415605742e-11,9.12560306721e-10
13859,FAM109B,ENSG00000177096,ENSG00000177096,1.52255103482e-11,9.39176427332e-10
13453,SH3PXD2B,ENSG00000174705,ENSG00000174705,1.57036418908e-11,9.65246822226e-10
7792,FRMD6,ENSG00000139926,ENSG00000139926,1.63190715106e-11,9.99543130022e-10
7246,ST6GALNAC4,ENSG00000136840,ENSG00000136840,1.65327268258e-11,1.00907643205e-09
11173,SEPT8,ENSG00000164402,ENSG00000164402,1.7158254379e-11,1.0435938284e-09
4072,CLIC5,ENSG00000112782,ENSG00000112782,1.72635723615e-11,1.0463409102e-09
6875,PDGFRA,ENSG00000134853,ENSG00000134853,1.81965808817e-11,1.09906084874e-09
13832,GCNT4,ENSG00000176928,ENSG00000176928,1.86409737348e-11,1.11586440071e-09
5636,EML2,ENSG00000125746,ENSG00000125746,1.86672342976e-11,1.11586440071e-09
4137,CDH6,ENSG00000113361,ENSG00000113361,1.85765442285e-11,1.11586440071e-09
13110,TMEM217,ENSG00000172738,ENSG00000172738,1.87842368204e-11,1.11901301196e-09
9216,CRIM1,ENSG00000150938,ENSG00000150938,1.95703122882e-11,1.15791014372e-09
1147,LMCD1,ENSG00000071282,ENSG00000071282,1.95641998769e-11,1.15791014372e-09
16931,SELENOM,ENSG00000198832,ENSG00000198832,2.08469938943e-11,1.22926596201e-09
4927,EPCAM,ENSG00000119888,ENSG00000119888,2.11865035258e-11,1.24506496227e-09
1978,TGFB2,ENSG00000092969,ENSG00000092969,2.12952860637e-11,1.24724411138e-09
11948,SPINT2,ENSG00000167642,ENSG00000167642,2.15363344153e-11,1.25712931931e-09
